sample_id,R_score,I_score,A_score,S_score,E_score,C_score,R_norm,I_norm,A_norm,S_norm,E_norm,C_norm,r_CNTT,r_ATTT,r_MKT,r_TMDT,r_TTDPT,r_KETOAN,r_best,r_second,confidence,fit_quality,assigned_major,age,gender,education
25770,16.0,25.0,15.0,5.0,13.0,19.0,0.5,0.78125,0.46875,0.15625,0.40625,0.59375,0.8657341,0.72128284,-0.055360798,-0.03557372,0.10619902,0.3573039,0.8657341,0.72128284,0.14445126,Best Fit,CNTT,14,2,1
6437,23.0,6.0,6.0,13.0,6.0,15.0,0.71875,0.1875,0.1875,0.40625,0.1875,0.46875,0.112412184,0.19735919,-0.496064,0.01775443,-0.18578547,-0.078768246,0.19735919,0.112412184,0.08494701,Good Fit,ATTT,25,1,4
27276,10.0,6.0,13.0,5.0,29.0,13.0,0.3125,0.1875,0.40625,0.15625,0.90625,0.40625,-0.37394643,-0.15665908,0.8048023,0.71640384,0.014361841,0.23462234,0.8048023,0.71640384,0.08839847,Best Fit,MKT,17,2,2
23722,21.0,16.0,7.0,21.0,16.0,32.0,0.65625,0.5,0.21875,0.65625,0.5,1.0,0.45420575,0.6942215,0.15241925,0.5566815,-0.60989535,0.7121938,0.7121938,0.6942215,0.01797228,Great Fit,KETOAN,46,2,4
10576,2.0,4.0,2.0,7.0,13.0,16.0,0.0625,0.125,0.0625,0.21875,0.40625,0.5,0.118921615,0.4362563,0.83009684,0.9386701,-0.48234177,0.8803623,0.9386701,0.8803623,0.058307808,Best Fit,TMDT,17,2,2
17730,16.0,18.0,23.0,18.0,16.0,14.0,0.5,0.5625,0.71875,0.5625,0.5,0.4375,-0.3759236,-0.69024295,-0.37595066,-0.67978305,0.7575903,-0.6755815,0.7575903,-0.3759236,1.1335139,Best Fit,TTDPT,37,2,4
18843,15.0,7.0,2.0,14.0,16.0,25.0,0.46875,0.21875,0.0625,0.4375,0.5,0.78125,0.21591936,0.54304016,0.41454062,0.78960496,-0.6045666,0.7184655,0.78960496,0.7184655,0.07113941,Best Fit,TMDT,18,1,2
13734,0.0,8.0,0.0,3.0,0.0,2.0,0.0,0.25,0.0,0.09375,0.0,0.0625,0.6398723,0.5321157,-0.12726687,-0.3693991,-0.4160282,0.23634696,0.6398723,0.5321157,0.10775659,Great Fit,CNTT,17,1,1
16087,14.0,4.0,13.0,22.0,27.0,23.0,0.4375,0.125,0.40625,0.6875,0.84375,0.71875,-0.5167411,-0.18224365,0.66217375,0.7879402,-0.30829042,0.36258307,0.7879402,0.66217375,0.12576647,Best Fit,TMDT,20,1,3
3032,13.0,20.0,4.0,17.0,9.0,9.0,0.40625,0.625,0.125,0.53125,0.28125,0.28125,0.35496134,0.3632813,-0.2674446,-0.3999859,-0.70760137,-0.013757741,0.3632813,0.35496134,0.008319991,Good Fit,ATTT,40,1,2
